# epoch,train_loss,valid_loss,train_pcc,valid_pcc,train_rmse,valid_rmse,train_mae,valid_mae,train_mse,valid_mse,train_r2,valid_r2
22,0.21251209,0.24200382,0.88743973,0.87241954,4.48302221,4.78398895,3.33185959,3.63714147,20.09748840,22.88654900,0.78748786,0.75692940
23,0.19683399,0.26539101,0.89624536,0.86007452,4.31448650,5.00982046,3.19801188,3.79707098,18.61479187,25.09830093,0.80316597,0.73343909
24,0.21547632,0.25057321,0.88575184,0.86888897,4.51417971,4.86795282,3.37930131,3.74128008,20.37781715,23.69696617,0.78452367,0.74832225
25,0.21316077,0.26300360,0.88706434,0.86950040,4.48985863,4.98723602,3.32741022,3.72373056,20.15883255,24.87252235,0.78683925,0.73583698
26,0.20289378,0.23699146,0.89282835,0.87789482,4.38039637,4.73418665,3.25546837,3.67964768,19.18787384,22.41252518,0.79710621,0.76196384
27,0.21892871,0.23683899,0.88382101,0.88077033,4.55019903,4.73266411,3.36297727,3.62055516,20.70431328,22.39810753,0.78107125,0.76211697
28,0.20985376,0.25297524,0.88896787,0.86741912,4.45489454,4.89122963,3.30302310,3.71229529,19.84608650,23.92412758,0.79014623,0.74590957
29,0.19873311,0.24503514,0.89515084,0.86915886,4.33524990,4.81385756,3.20549750,3.67226219,18.79439354,23.17322540,0.80126691,0.75388467
30,0.18861258,0.27467945,0.90078384,0.87312037,4.22342110,5.09673595,3.12086487,3.88380075,17.83728409,25.97671700,0.81138742,0.72410971
31,0.19650508,0.29829147,0.89644176,0.86356825,4.31088018,5.31128311,3.18219376,4.03004503,18.58368874,28.20973015,0.80349493,0.70039362
32,0.19346678,0.26235859,0.89809191,0.87185991,4.27742338,4.98111677,3.19695306,3.89619946,18.29635239,24.81152344,0.80653322,0.73648489
33,0.18032415,0.23807716,0.90538603,0.87250686,4.12958097,4.74501848,3.05119276,3.62731981,17.05344009,22.51520157,0.81967586,0.76087332
34,0.17038084,0.25254370,0.91084242,0.87447828,4.01411152,4.88705587,2.98939347,3.77770638,16.11309052,23.88331604,0.82961917,0.74634302
35,0.17635315,0.24733581,0.90757966,0.86723244,4.08385849,4.83640385,3.01705909,3.69593406,16.67789841,23.39080048,0.82364684,0.75157392
36,0.17275208,0.24026096,0.90955788,0.87952924,4.04194784,4.76673126,2.99573588,3.63320994,16.33734322,22.72172546,0.82724786,0.75867993
37,0.17964936,0.25289590,0.90575659,0.88292962,4.12184715,4.89046288,3.03599191,3.75399160,16.98962402,23.91662598,0.82035065,0.74598926
38,0.19166706,0.26363644,0.89910132,0.86116284,4.25748158,4.99323225,3.14568043,3.83936858,18.12615013,24.93236923,0.80833292,0.73520136
39,0.19176374,0.22748865,0.89904606,0.88016051,4.25855494,4.63830090,3.17659426,3.55741501,18.13529205,21.51383400,0.80823624,0.77150857
40,0.18580589,0.23688214,0.90235770,0.88020831,4.19187927,4.73309469,3.11047506,3.68710732,17.57185364,22.40218544,0.81419408,0.76207364
41,0.17901941,0.30932849,0.90610188,0.85564518,4.11461401,5.40865135,3.00526643,4.04079199,16.93004990,29.25351143,0.82098055,0.68930793
42,0.18524289,0.25054120,0.90269327,0.87478918,4.18552399,4.86764193,3.09852934,3.81044745,17.51861191,23.69393730,0.81475711,0.74835438
