"epoch","base1cd5-no_graphs - _step","base1cd5-no_graphs - _step__MIN","base1cd5-no_graphs - _step__MAX","base1cd5-no_graphs - train.rmse","base1cd5-no_graphs - train.rmse__MIN","base1cd5-no_graphs - train.rmse__MAX","base1cd5-no_graphs - valid.rmse","base1cd5-no_graphs - valid.rmse__MIN","base1cd5-no_graphs - valid.rmse__MAX","base3cd5_s1n64-all_graphs - _step","base3cd5_s1n64-all_graphs - _step__MIN","base3cd5_s1n64-all_graphs - _step__MAX","base3cd5_s1n64-all_graphs - train.rmse","base3cd5_s1n64-all_graphs - train.rmse__MIN","base3cd5_s1n64-all_graphs - train.rmse__MAX","base3cd5_s1n64-all_graphs - valid.rmse","base3cd5_s1n64-all_graphs - valid.rmse__MIN","base3cd5_s1n64-all_graphs - valid.rmse__MAX","DeepSTABp - _step","DeepSTABp - _step__MIN","DeepSTABp - _step__MAX","DeepSTABp - train.rmse","DeepSTABp - train.rmse__MIN","DeepSTABp - train.rmse__MAX","DeepSTABp - valid.rmse","DeepSTABp - valid.rmse__MIN","DeepSTABp - valid.rmse__MAX","base3d5_s1n16-all_graphs-bs64 - _step","base3d5_s1n16-all_graphs-bs64 - _step__MIN","base3d5_s1n16-all_graphs-bs64 - _step__MAX","base3d5_s1n16-all_graphs-bs64 - train.rmse","base3d5_s1n16-all_graphs-bs64 - train.rmse__MIN","base3d5_s1n16-all_graphs-bs64 - train.rmse__MAX","base3d5_s1n16-all_graphs-bs64 - valid.rmse","base3d5_s1n16-all_graphs-bs64 - valid.rmse__MIN","base3d5_s1n16-all_graphs-bs64 - valid.rmse__MAX","base3d5_s1n64-all_graphs - _step","base3d5_s1n64-all_graphs - _step__MIN","base3d5_s1n64-all_graphs - _step__MAX","base3d5_s1n64-all_graphs - train.rmse","base3d5_s1n64-all_graphs - train.rmse__MIN","base3d5_s1n64-all_graphs - train.rmse__MAX","base3d5_s1n64-all_graphs - valid.rmse","base3d5_s1n64-all_graphs - valid.rmse__MIN","base3d5_s1n64-all_graphs - valid.rmse__MAX"
"21","20","20","20","7.340394496917725","7.340394496917725","7.340394496917725","5.846449375152588","5.846449375152588","5.846449375152588","20","20","20","9.560441017150879","9.560441017150879","9.560441017150879","6.553150653839111","6.553150653839111","6.553150653839111","20","20","20","2.35","2.35","2.35","4.3","4.3","4.3","20","20","20","5.166305065155029","5.166305065155029","5.166305065155029","4.437173366546631","4.437173366546631","4.437173366546631","20","20","20","5.06626033782959","5.06626033782959","5.06626033782959","4.511456489562988","4.511456489562988","4.511456489562988"
"22","21","21","21","7.15433406829834","7.15433406829834","7.15433406829834","6.247669219970703","6.247669219970703","6.247669219970703","21","21","21","9.152814865112305","9.152814865112305","9.152814865112305","6.841063976287842","6.841063976287842","6.841063976287842","21","21","21","2.35","2.35","2.35","4.3","4.3","4.3","21","21","21","5.15995454788208","5.15995454788208","5.15995454788208","4.898883819580078","4.898883819580078","4.898883819580078","21","21","21","5.026462078094482","5.026462078094482","5.026462078094482","4.451717853546143","4.451717853546143","4.451717853546143"
"23","22","22","22","6.790071487426758","6.790071487426758","6.790071487426758","5.5200090408325195","5.5200090408325195","5.5200090408325195","22","22","22","8.735345840454102","8.735345840454102","8.735345840454102","6.391149520874023","6.391149520874023","6.391149520874023","22","22","22","2.35","2.35","2.35","4.3","4.3","4.3","22","22","22","5.205520153045654","5.205520153045654","5.205520153045654","4.454772472381592","4.454772472381592","4.454772472381592","22","22","22","5.0050578117370605","5.0050578117370605","5.0050578117370605","4.674649715423584","4.674649715423584","4.674649715423584"
"24","23","23","23","6.648561477661133","6.648561477661133","6.648561477661133","5.6047892570495605","5.6047892570495605","5.6047892570495605","23","23","23","8.405553817749023","8.405553817749023","8.405553817749023","6.44307804107666","6.44307804107666","6.44307804107666","23","23","23","2.35","2.35","2.35","4.3","4.3","4.3","23","23","23","5.178241729736328","5.178241729736328","5.178241729736328","4.467907905578613","4.467907905578613","4.467907905578613","23","23","23","4.971437454223633","4.971437454223633","4.971437454223633","4.432568550109863","4.432568550109863","4.432568550109863"
"25","24","24","24","6.42730188369751","6.42730188369751","6.42730188369751","5.377471446990967","5.377471446990967","5.377471446990967","24","24","24","7.979248046875","7.979248046875","7.979248046875","6.1668901443481445","6.1668901443481445","6.1668901443481445","24","24","24","2.35","2.35","2.35","4.3","4.3","4.3","24","24","24","5.186594486236572","5.186594486236572","5.186594486236572","4.648580074310303","4.648580074310303","4.648580074310303","24","24","24","4.896530628204346","4.896530628204346","4.896530628204346","4.397568225860596","4.397568225860596","4.397568225860596"
"26","25","25","25","6.225342273712158","6.225342273712158","6.225342273712158","5.336714744567871","5.336714744567871","5.336714744567871","25","25","25","7.694553852081299","7.694553852081299","7.694553852081299","6.150676727294922","6.150676727294922","6.150676727294922","25","25","25","2.35","2.35","2.35","4.3","4.3","4.3","25","25","25","5.146871089935303","5.146871089935303","5.146871089935303","4.476415157318115","4.476415157318115","4.476415157318115","25","25","25","4.883861064910889","4.883861064910889","4.883861064910889","4.505142688751221","4.505142688751221","4.505142688751221"
"27","26","26","26","6.09553861618042","6.09553861618042","6.09553861618042","5.101483345031738","5.101483345031738","5.101483345031738","26","26","26","7.451030731201172","7.451030731201172","7.451030731201172","5.964550018310547","5.964550018310547","5.964550018310547","26","26","26","2.35","2.35","2.35","4.3","4.3","4.3","26","26","26","5.064243316650391","5.064243316650391","5.064243316650391","4.476200580596924","4.476200580596924","4.476200580596924","26","26","26","4.811129093170166","4.811129093170166","4.811129093170166","4.449851036071777","4.449851036071777","4.449851036071777"
"28","27","27","27","5.889368057250977","5.889368057250977","5.889368057250977","4.957603454589844","4.957603454589844","4.957603454589844","27","27","27","7.217478275299072","7.217478275299072","7.217478275299072","5.74592399597168","5.74592399597168","5.74592399597168","27","27","27","2.35","2.35","2.35","4.3","4.3","4.3","27","27","27","5.081010341644287","5.081010341644287","5.081010341644287","4.621044635772705","4.621044635772705","4.621044635772705","27","27","27","4.761073112487793","4.761073112487793","4.761073112487793","4.341033935546875","4.341033935546875","4.341033935546875"
"29","28","28","28","5.7984209060668945","5.7984209060668945","5.7984209060668945","4.838131427764893","4.838131427764893","4.838131427764893","28","28","28","6.973994255065918","6.973994255065918","6.973994255065918","5.594642162322998","5.594642162322998","5.594642162322998","28","28","28","2.35","2.35","2.35","4.3","4.3","4.3","28","28","28","5.136120319366455","5.136120319366455","5.136120319366455","4.376253128051758","4.376253128051758","4.376253128051758","28","28","28","4.798403739929199","4.798403739929199","4.798403739929199","4.411918640136719","4.411918640136719","4.411918640136719"
"30","29","29","29","5.73130989074707","5.73130989074707","5.73130989074707","4.997156143188477","4.997156143188477","4.997156143188477","29","29","29","6.798206329345703","6.798206329345703","6.798206329345703","5.605093002319336","5.605093002319336","5.605093002319336","29","29","29","2.35","2.35","2.35","4.3","4.3","4.3","29","29","29","5.027719974517822","5.027719974517822","5.027719974517822","4.487511157989502","4.487511157989502","4.487511157989502","29","29","29","4.734236240386963","4.734236240386963","4.734236240386963","4.3417158126831055","4.3417158126831055","4.3417158126831055"
"31","30","30","30","5.66744327545166","5.66744327545166","5.66744327545166","4.891357898712158","4.891357898712158","4.891357898712158","30","30","30","6.627134799957275","6.627134799957275","6.627134799957275","5.449560642242432","5.449560642242432","5.449560642242432","30","30","30","2.35","2.35","2.35","4.3","4.3","4.3","30","30","30","5.051724433898926","5.051724433898926","5.051724433898926","4.321988105773926","4.321988105773926","4.321988105773926","30","30","30","4.6356587409973145","4.6356587409973145","4.6356587409973145","4.325606346130371","4.325606346130371","4.325606346130371"
"32","31","31","31","5.578975200653076","5.578975200653076","5.578975200653076","4.716029644012451","4.716029644012451","4.716029644012451","31","31","31","6.514891147613525","6.514891147613525","6.514891147613525","5.335791110992432","5.335791110992432","5.335791110992432","31","31","31","2.35","2.35","2.35","4.3","4.3","4.3","31","31","31","5.015036106109619","5.015036106109619","5.015036106109619","4.535905838012695","4.535905838012695","4.535905838012695","31","31","31","4.716084957122803","4.716084957122803","4.716084957122803","4.520313739776611","4.520313739776611","4.520313739776611"
"33","32","32","32","5.372942924499512","5.372942924499512","5.372942924499512","4.6785359382629395","4.6785359382629395","4.6785359382629395","32","32","32","6.1938371658325195","6.1938371658325195","6.1938371658325195","5.179961681365967","5.179961681365967","5.179961681365967","32","32","32","2.35","2.35","2.35","4.3","4.3","4.3","32","32","32","5.0104756355285645","5.0104756355285645","5.0104756355285645","4.6381306648254395","4.6381306648254395","4.6381306648254395","32","32","32","4.587721824645996","4.587721824645996","4.587721824645996","4.335147857666016","4.335147857666016","4.335147857666016"
"34","33","33","33","5.416139125823975","5.416139125823975","5.416139125823975","4.638504981994629","4.638504981994629","4.638504981994629","33","33","33","6.190583229064941","6.190583229064941","6.190583229064941","5.059978485107422","5.059978485107422","5.059978485107422","33","33","33","2.35","2.35","2.35","4.3","4.3","4.3","33","33","33","5.005616188049316","5.005616188049316","5.005616188049316","5.266369342803955","5.266369342803955","5.266369342803955","33","33","33","4.6751227378845215","4.6751227378845215","4.6751227378845215","4.38275671005249","4.38275671005249","4.38275671005249"
"35","34","34","34","5.422623157501221","5.422623157501221","5.422623157501221","4.619291305541992","4.619291305541992","4.619291305541992","34","34","34","6.031575679779053","6.031575679779053","6.031575679779053","5.011318206787109","5.011318206787109","5.011318206787109","34","34","34","2.35","2.35","2.35","4.3","4.3","4.3","34","34","34","5.07835054397583","5.07835054397583","5.07835054397583","4.906989574432373","4.906989574432373","4.906989574432373","34","34","34","4.555050373077393","4.555050373077393","4.555050373077393","4.3458733558654785","4.3458733558654785","4.3458733558654785"
"36","35","35","35","5.303313255310059","5.303313255310059","5.303313255310059","4.627958297729492","4.627958297729492","4.627958297729492","35","35","35","5.835932731628418","5.835932731628418","5.835932731628418","4.945456504821777","4.945456504821777","4.945456504821777","35","35","35","2.35","2.35","2.35","4.3","4.3","4.3","35","35","35","5.013152122497559","5.013152122497559","5.013152122497559","4.601332187652588","4.601332187652588","4.601332187652588","35","35","35","4.471477508544922","4.471477508544922","4.471477508544922","4.371960639953613","4.371960639953613","4.371960639953613"
"37","36","36","36","5.269158363342285","5.269158363342285","5.269158363342285","5.392551898956299","5.392551898956299","5.392551898956299","36","36","36","5.855015277862549","5.855015277862549","5.855015277862549","5.865291118621826","5.865291118621826","5.865291118621826","36","36","36","2.35","2.35","2.35","4.3","4.3","4.3","36","36","36","4.918437480926514","4.918437480926514","4.918437480926514","4.830660343170166","4.830660343170166","4.830660343170166","36","36","36","4.495185852050781","4.495185852050781","4.495185852050781","4.446366310119629","4.446366310119629","4.446366310119629"
"38","37","37","37","5.276471138000488","5.276471138000488","5.276471138000488","4.543983459472656","4.543983459472656","4.543983459472656","37","37","37","5.759345054626465","5.759345054626465","5.759345054626465","4.800953388214111","4.800953388214111","4.800953388214111","37","37","37","2.35","2.35","2.35","4.3","4.3","4.3","37","37","37","4.9360551834106445","4.9360551834106445","4.9360551834106445","4.395267486572266","4.395267486572266","4.395267486572266","37","37","37","4.378015518188477","4.378015518188477","4.378015518188477","4.331772804260254","4.331772804260254","4.331772804260254"
"39","38","38","38","5.170200347900391","5.170200347900391","5.170200347900391","4.688465595245361","4.688465595245361","4.688465595245361","38","38","38","5.564685821533203","5.564685821533203","5.564685821533203","4.770917892456055","4.770917892456055","4.770917892456055","38","38","38","2.35","2.35","2.35","4.3","4.3","4.3","38","38","38","4.906797885894775","4.906797885894775","4.906797885894775","4.586976051330566","4.586976051330566","4.586976051330566","38","38","38","4.451712608337402","4.451712608337402","4.451712608337402","4.351643085479736","4.351643085479736","4.351643085479736"
"40","39","39","39","5.087950229644775","5.087950229644775","5.087950229644775","4.512927055358887","4.512927055358887","4.512927055358887","39","39","39","5.422554969787598","5.422554969787598","5.422554969787598","4.782793998718262","4.782793998718262","4.782793998718262","39","39","39","2.35","2.35","2.35","4.3","4.3","4.3","39","39","39","4.8557024002075195","4.8557024002075195","4.8557024002075195","4.603499889373779","4.603499889373779","4.603499889373779","39","39","39","4.305874347686768","4.305874347686768","4.305874347686768","4.34512996673584","4.34512996673584","4.34512996673584"
"41","40","40","40","5.039069175720215","5.039069175720215","5.039069175720215","4.465686321258545","4.465686321258545","4.465686321258545","40","40","40","5.404515743255615","5.404515743255615","5.404515743255615","4.611460208892822","4.611460208892822","4.611460208892822","40","40","40","2.35","2.35","2.35","4.3","4.3","4.3","40","40","40","4.809059143066406","4.809059143066406","4.809059143066406","5.157147407531738","5.157147407531738","5.157147407531738","40","40","40","4.285787105560303","4.285787105560303","4.285787105560303","4.433140277862549","4.433140277862549","4.433140277862549"
"42","41","41","41","4.997549057006836","4.997549057006836","4.997549057006836","4.496918201446533","4.496918201446533","4.496918201446533","41","41","41","5.302260398864746","5.302260398864746","5.302260398864746","4.618005752563477","4.618005752563477","4.618005752563477","41","41","41","2.35","2.35","2.35","4.3","4.3","4.3","41","41","41","4.804100036621094","4.804100036621094","4.804100036621094","4.81459903717041","4.81459903717041","4.81459903717041","41","41","41","4.16570520401001","4.16570520401001","4.16570520401001","4.420745372772217","4.420745372772217","4.420745372772217"
"43","42","42","42","5.085793495178223","5.085793495178223","5.085793495178223","4.466894626617432","4.466894626617432","4.466894626617432","42","42","42","5.38797664642334","5.38797664642334","5.38797664642334","4.58164119720459","4.58164119720459","4.58164119720459","42","42","42","2.35","2.35","2.35","4.3","4.3","4.3","42","42","42","4.901420593261719","4.901420593261719","4.901420593261719","4.503953456878662","4.503953456878662","4.503953456878662","42","42","42","4.166187763214111","4.166187763214111","4.166187763214111","4.384377479553223","4.384377479553223","4.384377479553223"
