"epoch","base1cd5-no_graphs - _step","base1cd5-no_graphs - _step__MIN","base1cd5-no_graphs - _step__MAX","base1cd5-no_graphs - train.mae","base1cd5-no_graphs - train.mae__MIN","base1cd5-no_graphs - train.mae__MAX","base1cd5-no_graphs - valid.mae","base1cd5-no_graphs - valid.mae__MIN","base1cd5-no_graphs - valid.mae__MAX","base3cd5_s1n64-all_graphs - _step","base3cd5_s1n64-all_graphs - _step__MIN","base3cd5_s1n64-all_graphs - _step__MAX","base3cd5_s1n64-all_graphs - train.mae","base3cd5_s1n64-all_graphs - train.mae__MIN","base3cd5_s1n64-all_graphs - train.mae__MAX","base3cd5_s1n64-all_graphs - valid.mae","base3cd5_s1n64-all_graphs - valid.mae__MIN","base3cd5_s1n64-all_graphs - valid.mae__MAX","DeepSTABp - _step","DeepSTABp - _step__MIN","DeepSTABp - _step__MAX","DeepSTABp - train.mae","DeepSTABp - train.mae__MIN","DeepSTABp - train.mae__MAX","DeepSTABp - valid.mae","DeepSTABp - valid.mae__MIN","DeepSTABp - valid.mae__MAX","base3d5_s1n16-all_graphs-bs64 - _step","base3d5_s1n16-all_graphs-bs64 - _step__MIN","base3d5_s1n16-all_graphs-bs64 - _step__MAX","base3d5_s1n16-all_graphs-bs64 - train.mae","base3d5_s1n16-all_graphs-bs64 - train.mae__MIN","base3d5_s1n16-all_graphs-bs64 - train.mae__MAX","base3d5_s1n16-all_graphs-bs64 - valid.mae","base3d5_s1n16-all_graphs-bs64 - valid.mae__MIN","base3d5_s1n16-all_graphs-bs64 - valid.mae__MAX","base3d5_s1n64-all_graphs - _step","base3d5_s1n64-all_graphs - _step__MIN","base3d5_s1n64-all_graphs - _step__MAX","base3d5_s1n64-all_graphs - train.mae","base3d5_s1n64-all_graphs - train.mae__MIN","base3d5_s1n64-all_graphs - train.mae__MAX","base3d5_s1n64-all_graphs - valid.mae","base3d5_s1n64-all_graphs - valid.mae__MIN","base3d5_s1n64-all_graphs - valid.mae__MAX"
"21","20","20","20","5.638136386871338","5.638136386871338","5.638136386871338","4.469259738922119","4.469259738922119","4.469259738922119","20","20","20","7.2227864265441895","7.2227864265441895","7.2227864265441895","4.977241039276123","4.977241039276123","4.977241039276123","20","20","20","1.81","1.81","1.81","3.22","3.22","3.22","20","20","20","3.8665833473205566","3.8665833473205566","3.8665833473205566","3.4816246032714844","3.4816246032714844","3.4816246032714844","20","20","20","3.910073757171631","3.910073757171631","3.910073757171631","3.5010478496551514","3.5010478496551514","3.5010478496551514"
"22","21","21","21","5.513597011566162","5.513597011566162","5.513597011566162","4.783952713012695","4.783952713012695","4.783952713012695","21","21","21","6.9533538818359375","6.9533538818359375","6.9533538818359375","5.159968376159668","5.159968376159668","5.159968376159668","21","21","21","1.81","1.81","1.81","3.22","3.22","3.22","21","21","21","3.8532989025115967","3.8532989025115967","3.8532989025115967","3.7291295528411865","3.7291295528411865","3.7291295528411865","21","21","21","3.896682024002075","3.896682024002075","3.896682024002075","3.4788005352020264","3.4788005352020264","3.4788005352020264"
"23","22","22","22","5.224859237670898","5.224859237670898","5.224859237670898","4.261135578155518","4.261135578155518","4.261135578155518","22","22","22","6.632214546203613","6.632214546203613","6.632214546203613","4.859050750732422","4.859050750732422","4.859050750732422","22","22","22","1.81","1.81","1.81","3.22","3.22","3.22","22","22","22","3.88433837890625","3.88433837890625","3.88433837890625","3.474809408187866","3.474809408187866","3.474809408187866","22","22","22","3.8853037357330322","3.8853037357330322","3.8853037357330322","3.6143248081207275","3.6143248081207275","3.6143248081207275"
"24","23","23","23","5.120691776275635","5.120691776275635","5.120691776275635","4.320240020751953","4.320240020751953","4.320240020751953","23","23","23","6.402199745178223","6.402199745178223","6.402199745178223","4.919992446899414","4.919992446899414","4.919992446899414","23","23","23","1.81","1.81","1.81","3.22","3.22","3.22","23","23","23","3.850430965423584","3.850430965423584","3.850430965423584","3.4915883541107178","3.4915883541107178","3.4915883541107178","23","23","23","3.839945077896118","3.839945077896118","3.839945077896118","3.4795851707458496","3.4795851707458496","3.4795851707458496"
"25","24","24","24","4.979918956756592","4.979918956756592","4.979918956756592","4.132126808166504","4.132126808166504","4.132126808166504","24","24","24","6.105614185333252","6.105614185333252","6.105614185333252","4.688504219055176","4.688504219055176","4.688504219055176","24","24","24","1.81","1.81","1.81","3.22","3.22","3.22","24","24","24","3.860997200012207","3.860997200012207","3.860997200012207","3.574737071990967","3.574737071990967","3.574737071990967","24","24","24","3.7687225341796875","3.7687225341796875","3.7687225341796875","3.413212537765503","3.413212537765503","3.413212537765503"
"26","25","25","25","4.808959007263184","4.808959007263184","4.808959007263184","4.091264247894287","4.091264247894287","4.091264247894287","25","25","25","5.866423606872559","5.866423606872559","5.866423606872559","4.700628280639648","4.700628280639648","4.700628280639648","25","25","25","1.81","1.81","1.81","3.22","3.22","3.22","25","25","25","3.825712203979492","3.825712203979492","3.825712203979492","3.468358278274536","3.468358278274536","3.468358278274536","25","25","25","3.7568774223327637","3.7568774223327637","3.7568774223327637","3.4799129962921143","3.4799129962921143","3.4799129962921143"
"27","26","26","26","4.720198154449463","4.720198154449463","4.720198154449463","3.991265296936035","3.991265296936035","3.991265296936035","26","26","26","5.705154895782471","5.705154895782471","5.705154895782471","4.609610557556152","4.609610557556152","4.609610557556152","26","26","26","1.81","1.81","1.81","3.22","3.22","3.22","26","26","26","3.7751896381378174","3.7751896381378174","3.7751896381378174","3.4242238998413086","3.4242238998413086","3.4242238998413086","26","26","26","3.713589668273926","3.713589668273926","3.713589668273926","3.434443950653076","3.434443950653076","3.434443950653076"
"28","27","27","27","4.554171085357666","4.554171085357666","4.554171085357666","3.8637659549713135","3.8637659549713135","3.8637659549713135","27","27","27","5.517743110656738","5.517743110656738","5.517743110656738","4.394036769866943","4.394036769866943","4.394036769866943","27","27","27","1.81","1.81","1.81","3.22","3.22","3.22","27","27","27","3.786959171295166","3.786959171295166","3.786959171295166","3.5503411293029785","3.5503411293029785","3.5503411293029785","27","27","27","3.6847028732299805","3.6847028732299805","3.6847028732299805","3.35937762260437","3.35937762260437","3.35937762260437"
"29","28","28","28","4.493966102600098","4.493966102600098","4.493966102600098","3.7817656993865967","3.7817656993865967","3.7817656993865967","28","28","28","5.380491733551025","5.380491733551025","5.380491733551025","4.291159152984619","4.291159152984619","4.291159152984619","28","28","28","1.81","1.81","1.81","3.22","3.22","3.22","28","28","28","3.8062655925750732","3.8062655925750732","3.8062655925750732","3.387775182723999","3.387775182723999","3.387775182723999","28","28","28","3.6872358322143555","3.6872358322143555","3.6872358322143555","3.416731595993042","3.416731595993042","3.416731595993042"
"30","29","29","29","4.453972816467285","4.453972816467285","4.453972816467285","3.8738014698028564","3.8738014698028564","3.8738014698028564","29","29","29","5.2278618812561035","5.2278618812561035","5.2278618812561035","4.347155570983887","4.347155570983887","4.347155570983887","29","29","29","1.81","1.81","1.81","3.22","3.22","3.22","29","29","29","3.74757719039917","3.74757719039917","3.74757719039917","3.5556375980377197","3.5556375980377197","3.5556375980377197","29","29","29","3.640402317047119","3.640402317047119","3.640402317047119","3.3384337425231934","3.3384337425231934","3.3384337425231934"
"31","30","30","30","4.387805461883545","4.387805461883545","4.387805461883545","3.7863075733184814","3.7863075733184814","3.7863075733184814","30","30","30","5.09201717376709","5.09201717376709","5.09201717376709","4.198756217956543","4.198756217956543","4.198756217956543","30","30","30","1.81","1.81","1.81","3.22","3.22","3.22","30","30","30","3.747147798538208","3.747147798538208","3.747147798538208","3.3899271488189697","3.3899271488189697","3.3899271488189697","30","30","30","3.584416389465332","3.584416389465332","3.584416389465332","3.347079038619995","3.347079038619995","3.347079038619995"
"32","31","31","31","4.321545600891113","4.321545600891113","4.321545600891113","3.6606392860412598","3.6606392860412598","3.6606392860412598","31","31","31","5.0040740966796875","5.0040740966796875","5.0040740966796875","4.123075008392334","4.123075008392334","4.123075008392334","31","31","31","1.81","1.81","1.81","3.22","3.22","3.22","31","31","31","3.7223918437957764","3.7223918437957764","3.7223918437957764","3.4561538696289062","3.4561538696289062","3.4561538696289062","31","31","31","3.639016628265381","3.639016628265381","3.639016628265381","3.4647722244262695","3.4647722244262695","3.4647722244262695"
"33","32","32","32","4.174523830413818","4.174523830413818","4.174523830413818","3.686978816986084","3.686978816986084","3.686978816986084","32","32","32","4.808300018310547","4.808300018310547","4.808300018310547","4.041356563568115","4.041356563568115","4.041356563568115","32","32","32","1.81","1.81","1.81","3.22","3.22","3.22","32","32","32","3.7234835624694824","3.7234835624694824","3.7234835624694824","3.6547369956970215","3.6547369956970215","3.6547369956970215","32","32","32","3.543321132659912","3.543321132659912","3.543321132659912","3.3902337551116943","3.3902337551116943","3.3902337551116943"
"34","33","33","33","4.199522972106934","4.199522972106934","4.199522972106934","3.6435422897338867","3.6435422897338867","3.6435422897338867","33","33","33","4.794004917144775","4.794004917144775","4.794004917144775","3.9411892890930176","3.9411892890930176","3.9411892890930176","33","33","33","1.81","1.81","1.81","3.22","3.22","3.22","33","33","33","3.722059488296509","3.722059488296509","3.722059488296509","4.228067874908447","4.228067874908447","4.228067874908447","33","33","33","3.5908892154693604","3.5908892154693604","3.5908892154693604","3.372819185256958","3.372819185256958","3.372819185256958"
"35","34","34","34","4.211441516876221","4.211441516876221","4.211441516876221","3.6476123332977295","3.6476123332977295","3.6476123332977295","34","34","34","4.673685550689697","4.673685550689697","4.673685550689697","3.9393630027770996","3.9393630027770996","3.9393630027770996","34","34","34","1.81","1.81","1.81","3.22","3.22","3.22","34","34","34","3.745853900909424","3.745853900909424","3.745853900909424","3.725088119506836","3.725088119506836","3.725088119506836","34","34","34","3.496190071105957","3.496190071105957","3.496190071105957","3.342092275619507","3.342092275619507","3.342092275619507"
"36","35","35","35","4.1199774742126465","4.1199774742126465","4.1199774742126465","3.5837886333465576","3.5837886333465576","3.5837886333465576","35","35","35","4.512182235717773","4.512182235717773","4.512182235717773","3.852952003479004","3.852952003479004","3.852952003479004","35","35","35","1.81","1.81","1.81","3.22","3.22","3.22","35","35","35","3.718731641769409","3.718731641769409","3.718731641769409","3.579050064086914","3.579050064086914","3.579050064086914","35","35","35","3.4551031589508057","3.4551031589508057","3.4551031589508057","3.366342782974243","3.366342782974243","3.366342782974243"
"37","36","36","36","4.082817077636719","4.082817077636719","4.082817077636719","4.199178695678711","4.199178695678711","4.199178695678711","36","36","36","4.519502639770508","4.519502639770508","4.519502639770508","4.657662391662598","4.657662391662598","4.657662391662598","36","36","36","1.81","1.81","1.81","3.22","3.22","3.22","36","36","36","3.6593754291534424","3.6593754291534424","3.6593754291534424","3.6656923294067383","3.6656923294067383","3.6656923294067383","36","36","36","3.4645068645477295","3.4645068645477295","3.4645068645477295","3.4539496898651123","3.4539496898651123","3.4539496898651123"
"38","37","37","37","4.120797634124756","4.120797634124756","4.120797634124756","3.5686452388763428","3.5686452388763428","3.5686452388763428","37","37","37","4.454878807067871","4.454878807067871","4.454878807067871","3.74003529548645","3.74003529548645","3.74003529548645","37","37","37","1.81","1.81","1.81","3.22","3.22","3.22","37","37","37","3.6810033321380615","3.6810033321380615","3.6810033321380615","3.451244831085205","3.451244831085205","3.451244831085205","37","37","37","3.367534637451172","3.367534637451172","3.367534637451172","3.3625118732452393","3.3625118732452393","3.3625118732452393"
"39","38","38","38","4.026518821716309","4.026518821716309","4.026518821716309","3.611528158187866","3.611528158187866","3.611528158187866","38","38","38","4.321691513061523","4.321691513061523","4.321691513061523","3.705965280532837","3.705965280532837","3.705965280532837","38","38","38","1.81","1.81","1.81","3.22","3.22","3.22","38","38","38","3.6507606506347656","3.6507606506347656","3.6507606506347656","3.5240061283111572","3.5240061283111572","3.5240061283111572","38","38","38","3.4140682220458984","3.4140682220458984","3.4140682220458984","3.3657095432281494","3.3657095432281494","3.3657095432281494"
"40","39","39","39","3.947495937347412","3.947495937347412","3.947495937347412","3.5642683506011963","3.5642683506011963","3.5642683506011963","39","39","39","4.204854488372803","4.204854488372803","4.204854488372803","3.7878518104553223","3.7878518104553223","3.7878518104553223","39","39","39","1.81","1.81","1.81","3.22","3.22","3.22","39","39","39","3.630429983139038","3.630429983139038","3.630429983139038","3.6047325134277344","3.6047325134277344","3.6047325134277344","39","39","39","3.294649600982666","3.294649600982666","3.294649600982666","3.380089282989502","3.380089282989502","3.380089282989502"
"41","40","40","40","3.922791004180908","3.922791004180908","3.922791004180908","3.4906201362609863","3.4906201362609863","3.4906201362609863","40","40","40","4.196990013122559","4.196990013122559","4.196990013122559","3.5902421474456787","3.5902421474456787","3.5902421474456787","40","40","40","1.81","1.81","1.81","3.22","3.22","3.22","40","40","40","3.598893642425537","3.598893642425537","3.598893642425537","4.155849456787109","4.155849456787109","4.155849456787109","40","40","40","3.3065848350524902","3.3065848350524902","3.3065848350524902","3.471679210662842","3.471679210662842","3.471679210662842"
"42","41","41","41","3.8821277618408203","3.8821277618408203","3.8821277618408203","3.4930334091186523","3.4930334091186523","3.4930334091186523","41","41","41","4.114548683166504","4.114548683166504","4.114548683166504","3.586091995239258","3.586091995239258","3.586091995239258","41","41","41","1.81","1.81","1.81","3.22","3.22","3.22","41","41","41","3.570935010910034","3.570935010910034","3.570935010910034","3.705777168273926","3.705777168273926","3.705777168273926","41","41","41","3.223696231842041","3.223696231842041","3.223696231842041","3.414072036743164","3.414072036743164","3.414072036743164"
