"epoch","c1e-N - _step","c1e-N - _step__MIN","c1e-N - _step__MAX","c1e-N - train.rmse","c1e-N - train.rmse__MIN","c1e-N - train.rmse__MAX","c1e-N - valid.rmse","c1e-N - valid.rmse__MIN","c1e-N - valid.rmse__MAX","DeepSTABp_architecture - _step","DeepSTABp_architecture - _step__MIN","DeepSTABp_architecture - _step__MAX","DeepSTABp_architecture - train.rmse","DeepSTABp_architecture - train.rmse__MIN","DeepSTABp_architecture - train.rmse__MAX","DeepSTABp_architecture - valid.rmse","DeepSTABp_architecture - valid.rmse__MIN","DeepSTABp_architecture - valid.rmse__MAX","gcn_d3e_FFF-1x32-0_Nmean - _step","gcn_d3e_FFF-1x32-0_Nmean - _step__MIN","gcn_d3e_FFF-1x32-0_Nmean - _step__MAX","gcn_d3e_FFF-1x32-0_Nmean - train.rmse","gcn_d3e_FFF-1x32-0_Nmean - train.rmse__MIN","gcn_d3e_FFF-1x32-0_Nmean - train.rmse__MAX","gcn_d3e_FFF-1x32-0_Nmean - valid.rmse","gcn_d3e_FFF-1x32-0_Nmean - valid.rmse__MIN","gcn_d3e_FFF-1x32-0_Nmean - valid.rmse__MAX","gcn_d3_FFF-1x32-0_Nmean - _step","gcn_d3_FFF-1x32-0_Nmean - _step__MIN","gcn_d3_FFF-1x32-0_Nmean - _step__MAX","gcn_d3_FFF-1x32-0_Nmean - train.rmse","gcn_d3_FFF-1x32-0_Nmean - train.rmse__MIN","gcn_d3_FFF-1x32-0_Nmean - train.rmse__MAX","gcn_d3_FFF-1x32-0_Nmean - valid.rmse","gcn_d3_FFF-1x32-0_Nmean - valid.rmse__MIN","gcn_d3_FFF-1x32-0_Nmean - valid.rmse__MAX","d0e_F - _step","d0e_F - _step__MIN","d0e_F - _step__MAX","d0e_F - train.rmse","d0e_F - train.rmse__MIN","d0e_F - train.rmse__MAX","d0e_F - valid.rmse","d0e_F - valid.rmse__MIN","d0e_F - valid.rmse__MAX"
"21","20","20","20","6.7062668800354","6.7062668800354","6.7062668800354","5.97761344909668","5.97761344909668","5.97761344909668","20","20","20","4.356821060180664","4.356821060180664","4.356821060180664","4.217001438140869","4.217001438140869","4.217001438140869","20","20","20","5.080899238586426","5.080899238586426","5.080899238586426","4.633573055267334","4.633573055267334","4.633573055267334","20","20","20","5.051486492156982","5.051486492156982","5.051486492156982","4.552701950073242","4.552701950073242","4.552701950073242","20","20","20","7.777076244354248","7.777076244354248","7.777076244354248","6.310334205627441","6.310334205627441","6.310334205627441"
"22","21","21","21","6.680182456970215","6.680182456970215","6.680182456970215","6.074720859527588","6.074720859527588","6.074720859527588","21","21","21","4.267934322357178","4.267934322357178","4.267934322357178","4.483718395233154","4.483718395233154","4.483718395233154","21","21","21","5.0922346115112305","5.0922346115112305","5.0922346115112305","4.422798156738281","4.422798156738281","4.422798156738281","21","21","21","5.075874328613281","5.075874328613281","5.075874328613281","4.615710735321045","4.615710735321045","4.615710735321045","21","21","21","7.8260979652404785","7.8260979652404785","7.8260979652404785","6.794368267059326","6.794368267059326","6.794368267059326"
"23","22","22","22","6.538222789764404","6.538222789764404","6.538222789764404","6.088241100311279","6.088241100311279","6.088241100311279","22","22","22","4.236251354217529","4.236251354217529","4.236251354217529","4.349426746368408","4.349426746368408","4.349426746368408","22","22","22","4.956128120422363","4.956128120422363","4.956128120422363","4.647259712219238","4.647259712219238","4.647259712219238","22","22","22","4.94060754776001","4.94060754776001","4.94060754776001","4.56089973449707","4.56089973449707","4.56089973449707","22","22","22","7.722523212432861","7.722523212432861","7.722523212432861","7.128534317016602","7.128534317016602","7.128534317016602"
"24","23","23","23","6.53326940536499","6.53326940536499","6.53326940536499","6.299788951873779","6.299788951873779","6.299788951873779","23","23","23","4.238705158233643","4.238705158233643","4.238705158233643","4.620266914367676","4.620266914367676","4.620266914367676","23","23","23","4.9538493156433105","4.9538493156433105","4.9538493156433105","4.646493911743164","4.646493911743164","4.646493911743164","23","23","23","4.999500751495361","4.999500751495361","4.999500751495361","4.592012882232666","4.592012882232666","4.592012882232666","23","23","23","7.715466022491455","7.715466022491455","7.715466022491455","6.540760517120361","6.540760517120361","6.540760517120361"
"25","24","24","24","6.586144924163818","6.586144924163818","6.586144924163818","6.078859806060791","6.078859806060791","6.078859806060791","24","24","24","4.284097194671631","4.284097194671631","4.284097194671631","4.263065338134766","4.263065338134766","4.263065338134766","24","24","24","4.903618335723877","4.903618335723877","4.903618335723877","4.613132953643799","4.613132953643799","4.613132953643799","24","24","24","4.917791843414307","4.917791843414307","4.917791843414307","4.868343830108643","4.868343830108643","4.868343830108643","24","24","24","7.80536413192749","7.80536413192749","7.80536413192749","6.533846855163574","6.533846855163574","6.533846855163574"
"26","25","25","25","6.505082607269287","6.505082607269287","6.505082607269287","6.063636779785156","6.063636779785156","6.063636779785156","25","25","25","4.230967044830322","4.230967044830322","4.230967044830322","4.369139671325684","4.369139671325684","4.369139671325684","25","25","25","4.890349388122559","4.890349388122559","4.890349388122559","4.422768592834473","4.422768592834473","4.422768592834473","25","25","25","4.880493640899658","4.880493640899658","4.880493640899658","4.590171813964844","4.590171813964844","4.590171813964844","25","25","25","7.771986484527588","7.771986484527588","7.771986484527588","6.644663333892822","6.644663333892822","6.644663333892822"
"27","26","26","26","6.395365238189697","6.395365238189697","6.395365238189697","5.966034889221191","5.966034889221191","5.966034889221191","26","26","26","4.1633381843566895","4.1633381843566895","4.1633381843566895","4.377108097076416","4.377108097076416","4.377108097076416","26","26","26","4.990706920623779","4.990706920623779","4.990706920623779","4.552206039428711","4.552206039428711","4.552206039428711","26","26","26","5.041934967041016","5.041934967041016","5.041934967041016","4.9694671630859375","4.9694671630859375","4.9694671630859375","26","26","26","7.667527675628662","7.667527675628662","7.667527675628662","6.619601726531982","6.619601726531982","6.619601726531982"
"28","27","27","27","6.328760147094727","6.328760147094727","6.328760147094727","5.850562572479248","5.850562572479248","5.850562572479248","27","27","27","4.179376602172852","4.179376602172852","4.179376602172852","4.233476161956787","4.233476161956787","4.233476161956787","27","27","27","4.960587024688721","4.960587024688721","4.960587024688721","4.678944110870361","4.678944110870361","4.678944110870361","27","27","27","4.987841606140137","4.987841606140137","4.987841606140137","4.526861667633057","4.526861667633057","4.526861667633057","27","27","27","7.801437854766846","7.801437854766846","7.801437854766846","6.94857120513916","6.94857120513916","6.94857120513916"
"29","28","28","28","6.261624813079834","6.261624813079834","6.261624813079834","6.121387481689453","6.121387481689453","6.121387481689453","28","28","28","4.155367851257324","4.155367851257324","4.155367851257324","4.280648708343506","4.280648708343506","4.280648708343506","28","28","28","4.884240627288818","4.884240627288818","4.884240627288818","4.482299327850342","4.482299327850342","4.482299327850342","28","28","28","4.912566661834717","4.912566661834717","4.912566661834717","4.705067157745361","4.705067157745361","4.705067157745361","28","28","28","7.712653160095215","7.712653160095215","7.712653160095215","6.472721576690674","6.472721576690674","6.472721576690674"
"30","29","29","29","6.188864707946777","6.188864707946777","6.188864707946777","5.683176040649414","5.683176040649414","5.683176040649414","29","29","29","4.158863067626953","4.158863067626953","4.158863067626953","4.279845714569092","4.279845714569092","4.279845714569092","29","29","29","4.919415473937988","4.919415473937988","4.919415473937988","4.480354309082031","4.480354309082031","4.480354309082031","29","29","29","4.888653755187988","4.888653755187988","4.888653755187988","4.412039279937744","4.412039279937744","4.412039279937744","29","29","29","7.77262544631958","7.77262544631958","7.77262544631958","6.740303993225098","6.740303993225098","6.740303993225098"
