Protein,species,asymptote,mid,m,Tm,r2
B1AHD1,Homo sapiens K562 lysate,0.07581612251770868,46.598048644811556,735.3396897860863,47.09215023457194,0.9979062038134812
B1AK53_ESPN,Homo sapiens K562 lysate,0.26588467187888437,48.32176111253609,1030.1316049472046,50.115076332308476,0.9556041965907563
B1AK53,Homo sapiens K562 lysate,0.14590954843191498,49.67322368171407,1099.8300509380472,50.473921846141074,0.9645352330433083
B1AKJ5_NRD1,Homo sapiens K562 lysate,0.10780903603048962,49.398303857099144,1027.0297323758257,49.98269406550095,0.9912696415215926
B1AKJ5,Homo sapiens K562 lysate,0.09570001229897843,51.38221091227123,1905.2908092087373,51.68732668817764,0.9995804759689189
B3KS98_EIF3S3,Homo sapiens K562 lysate,0.2549246781765077,50.00538209203013,1429.8230120411206,51.30915966949986,0.9914644544427875
B3KS98,Homo sapiens K562 lysate,0.07776596639916708,49.23616266888115,981.478939459258,49.664615172625375,0.9970646867885308
B3KSH1_EIF3F,Homo sapiens K562 lysate,0.24611277961831937,48.32873089080433,1342.178321391208,49.56414942895374,0.9853404116890451
B3KSH1,Homo sapiens K562 lysate,0.09624537304654637,48.24964281492416,1065.6484848873308,48.72866775263499,0.9974175499780044
B4DR52_HIST2H2BF,Homo sapiens K562 lysate,0.14243878825131842,47.268995828775886,1256.023479130794,47.878333953861585,0.9987482837651042
B4DR52,Homo sapiens K562 lysate,0.09756774504161521,48.27846544856562,968.8592155673464,48.811694068459566,0.9995118894506066
B4DSS8_PTBP2,Homo sapiens K562 lysate,0.326067993915176,48.85037979653205,2414.620723337037,49.93107697575252,0.9840966207911592
B4DSS8,Homo sapiens K562 lysate,0.15173699244463687,48.503541144629544,819.6283689435186,49.576258461382444,0.99385806286651
B4DZH6_HDAC6,Homo sapiens K562 lysate,0.18844824991132372,46.05277296152267,1466.977501987221,46.76208584778629,0.9952594362171252
B4DZH6,Homo sapiens K562 lysate,0.108145484940399,47.40433369413638,794.2468236244932,48.10864907235049,0.9994242672492176
B5MC59_RPA3,Homo sapiens K562 lysate,0.11248025014657766,50.56920947476991,916.7979050012243,51.29958204312298,0.9957643775112685
B5MC59,Homo sapiens K562 lysate,0.126120725445588,51.969593582002965,742.4638530707633,53.05093612066439,0.989946975504828
B5MCA4_EPCAM,Homo sapiens K562 lysate,0.17375406589234785,45.992797360340255,695.1536465217071,47.34223545147521,0.9961633327948174
B5MCA4,Homo sapiens K562 lysate,0.06448535859768471,48.63630661189577,587.9719511707542,49.20325862907364,0.9774245490716131
B5MCU0_R3HDM2,Homo sapiens K562 lysate,0.4242599857969688,49.11488833777296,1264.592501374745,52.99980879383719,0.9642500834161777
B5MCU0,Homo sapiens K562 lysate,0.15978927130573536,49.213607941500165,700.7734693292108,50.59223763158344,0.9890862310785496
B5MDU6_C2orf43,Homo sapiens K562 lysate,0.05177719736201004,46.80788700293219,706.0830600057344,47.15410722882094,0.9904939682239758
B5MDU6,Homo sapiens K562 lysate,0.068729882558322,48.090274968598585,579.9088130350609,48.693253943848745,0.9967888866612497
B7WPE2_EML3,Homo sapiens K562 lysate,0.23624552828326237,48.64035709373528,960.3275356976843,50.28531543124721,0.9899406967978696
B7WPE2,Homo sapiens K562 lysate,0.07054592176613249,49.1467170501738,768.9476318005035,49.63611024405041,0.997123815911321
B7ZC38_SH3GLB2,Homo sapiens K562 lysate,0.15670539962141733,47.96055031743066,1378.1068552190225,48.61302635615802,0.9929992805477547
B7ZC38,Homo sapiens K562 lysate,0.10351191699123623,48.93878359474234,1249.472300464752,49.40038179561964,0.9994381648297225
C9J6P4_ZC3HAV1,Homo sapiens K562 lysate,0.3914576355990657,45.49017841266103,994.357684214159,48.91969707107142,0.9473395055920788
C9J6P4,Homo sapiens K562 lysate,0.24615170129668862,48.59075423517921,545.0869019331157,51.726200881658556,0.9941665572824888
C9J7E5_TNPO3,Homo sapiens K562 lysate,0.14040934844271385,46.753927238309345,1012.7143454341267,47.49097195302914,0.9954436195426617
C9J7E5,Homo sapiens K562 lysate,0.10898454874611048,51.72672241916706,1329.5229298644674,52.23669245191793,0.9978604131305558
C9JA08_NMD3,Homo sapiens K562 lysate,0.09853600777609339,49.77853238494912,1561.7896553197634,50.13788659856113,0.9981314926138928
C9JA08,Homo sapiens K562 lysate,0.1505329111895407,47.810261883023415,832.4582733951988,48.821266999674215,0.997369537407932
C9JCC6_DRAP1,Homo sapiens K562 lysate,0.4083585340365754,51.031301330498344,1524.6340602199564,54.12399263352195,0.9944485836227276
C9JCC6,Homo sapiens K562 lysate,0.3671874357322951,54.24844700742418,1475.948063169718,57.031439028209405,0.9872969250499127
C9JJ19_MRPS34,Homo sapiens K562 lysate,0.2264509920752822,47.912977488384605,1309.712557332609,48.99443613414641,0.9765019647209758
C9JJ19,Homo sapiens K562 lysate,0.09957888886119794,49.580046045839524,1100.4180755486905,50.08545726562446,0.9977985360823622
D6REX3_SEC31A,Homo sapiens K562 lysate,0.23972347288703041,49.450619783818794,1206.256842534848,50.823062009466696,0.9948175348289325
D6REX3,Homo sapiens K562 lysate,0.0944911047258657,50.430572012947074,1198.9109587556786,50.882054719600454,0.9993406655395921
D6RFG8_DCK,Homo sapiens K562 lysate,0.08930210452881915,48.66399218647214,1096.7585857939448,49.09730280619235,0.9978072312247367
D6RFG8,Homo sapiens K562 lysate,0.10402343198633415,49.8850536123731,1316.2265968241497,50.34263990998902,0.9994596326702269
D6W592_HNRPLL,Homo sapiens K562 lysate,0.16764501772289161,45.59582103715311,1006.2992560450315,46.47276075827208,0.9994095739775511
D6W592,Homo sapiens K562 lysate,0.09759615092403778,44.13994443344424,807.5608124180486,44.67885342655941,0.9964469754993931
E7EP87_NARF,Homo sapiens K562 lysate,0.09522585369594337,48.83594818616398,693.4562250026202,49.58186296160851,0.9915516622086594
E7EP87,Homo sapiens K562 lysate,0.12732617708612842,49.42267878977315,1160.4746963774132,50.052386238674856,0.9929062578260635
E7EQ45_AP5M1,Homo sapiens K562 lysate,0.45483941649926746,48.87277767790078,1373.3632168054437,53.50015803569019,0.9363069793693788
E7EQ45,Homo sapiens K562 lysate,0.18325422240491201,48.4164459657568,565.8460815626804,50.39534169717743,0.9930868707666987
E7EQB3_TSEN34,Homo sapiens K562 lysate,0.10079435359174967,47.582306259257194,1414.7598071270947,47.946723018268216,0.9905871951923573
E7EQB3,Homo sapiens K562 lysate,0.09405113774113238,48.10815335263941,756.2528015206292,48.760478957511786,0.997797647823333
E7ESC6_XPO7,Homo sapiens K562 lysate,0.1424911435553176,51.592954139481456,717.299880500096,52.87266922093818,0.983832635124373
E7ESC6,Homo sapiens K562 lysate,0.16815172515149984,52.35138634922432,2186.4841699479043,52.87702905125973,0.9994227844724091
E7EUC7_UGP2,Homo sapiens K562 lysate,0.05633413400764481,50.20337944512515,974.2726128191239,50.52219398679086,0.9804621094918299
E7EUC7,Homo sapiens K562 lysate,0.13947137386460726,53.638026730075815,2368.3319537315842,54.04317754667088,0.9972955680003069
E7EVC7_ATG16L1,Homo sapiens K562 lysate,0.4802414451456692,45.44061896003102,598.8286386247242,60.21555089329446,0.9467452520742028
E7EVC7,Homo sapiens K562 lysate,0.22563772954244027,53.60775042916706,1285.5174564412619,54.98489094302646,0.9875150785823771
E7EW20_MYO6,Homo sapiens K562 lysate,0.11200015898412707,45.86711947951849,851.2380209696616,46.514081223174344,0.9980490452892182
E7EW20,Homo sapiens K562 lysate,0.09570477783992629,51.39361617688747,1596.021187169029,51.75440457593974,0.9986339917346448
