# Reciprocal collectivity of fluctuations=  5.3
# kappa=  1.000
# Frequency reported in internal units: 0.156 ps^(-1), kT/h/ is 2.47 internal units (om-2)= 0.164
#mode pc_therm cumul om-2(harm)  RMSD  Coll_cart Coll_MW Coll_tors Max_dev_atom
   28  0.0002 0.998    96.55    0.179  0.326 0.295 0.175  2.626
   29  0.0001 0.998    70.59    0.153  0.219 0.224 0.104  2.363
   30  0.0001 0.998    65.73    0.147  0.316 0.334 0.146  1.836
   31  0.0001 0.998    56.77    0.137  0.118 0.102 0.124  4.068
   32  0.0001 0.998    55.09    0.135  0.293 0.243 0.152  2.271
   33  0.0001 0.998    51.43     0.13  0.168 0.154 0.157  3.156
   34  0.0001 0.998    50.13    0.129  0.306 0.271 0.141  2.177
   35  0.0001 0.998    47.81    0.126  0.122 0.119 0.140  2.814
   36  0.0001 0.998    43.55     0.12  0.248 0.259 0.173  2.116
   37  0.0001 0.999    38.45    0.113  0.231 0.200 0.142  1.466
   38  0.0001 0.999    36.82     0.11  0.246 0.199 0.125  1.791
   39  0.0001 0.999    36.05    0.109  0.241 0.209 0.182  1.782
   40  0.0001 0.999    33.89    0.106  0.122 0.157 0.038  2.102
   41  0.0001 0.999    29.67   0.0991  0.330 0.318 0.214  1.064
   42  0.0001 0.999    27.44   0.0953  0.274 0.263 0.146  1.278
   43  0.0000 0.999    24.94   0.0908  0.287 0.271 0.151  1.521
   44  0.0000 0.999    23.03   0.0873  0.236 0.178 0.119  2.106
   45  0.0000 0.999    20.21   0.0818  0.123 0.104 0.071  2.062
   46  0.0000 0.999    17.59   0.0763  0.229 0.240 0.116  1.331
   47  0.0000 0.999       17    0.075  0.268 0.251 0.195  1.473
   48  0.0000 0.999    16.03   0.0728  0.146 0.154 0.133  2.213
   49  0.0000 0.999    15.31   0.0712  0.200 0.215 0.170  1.874
   50  0.0000 0.999       15   0.0704  0.279 0.296 0.149  1.029
   51  0.0000 0.999    14.13   0.0684  0.158 0.166 0.087  1.483
   52  0.0000 0.999    12.79    0.065  0.080 0.179 0.104  2.330
   53  0.0000 0.999    12.56   0.0645  0.286 0.377 0.200  1.491
   54  0.0000 0.999    12.13   0.0633  0.230 0.286 0.154  1.654
   55  0.0000 0.999    11.61    0.062  0.270 0.306 0.197  1.936
   56  0.0000 0.999    10.87     0.06  0.251 0.243 0.162  1.293
   57  0.0000 0.999    10.48   0.0589  0.137 0.160 0.104  1.374
   58  0.0000 0.999    9.766   0.0568  0.305 0.295 0.219  1.567
   59  0.0000 0.999    9.296   0.0555  0.253 0.247 0.192  2.142
   60  0.0000 0.999    8.681   0.0536  0.182 0.217 0.121  1.518
   61  0.0000 0.999     8.35   0.0526  0.182 0.158 0.141  1.133
   62  0.0000 0.999    8.114   0.0518  0.170 0.230 0.132  1.358
   63  0.0000 0.999    7.994   0.0514  0.127 0.119 0.065  1.079
   64  0.0000 0.999    7.886   0.0511  0.241 0.234 0.159  0.914
   65  0.0000 1.000    7.596   0.0501  0.279 0.281 0.160  0.848
   66  0.0000 1.000    6.705   0.0471  0.276 0.281 0.181  0.859
   67  0.0000 1.000    6.303   0.0457  0.243 0.231 0.199  0.882
   68  0.0000 1.000    6.148   0.0451  0.209 0.239 0.166  0.760
   69  0.0000 1.000    6.081   0.0449  0.089 0.097 0.043  1.437
   70  0.0000 1.000    5.964   0.0444  0.203 0.233 0.185  0.788
   71  0.0000 1.000      5.7   0.0434  0.162 0.136 0.132  1.381
   72  0.0000 1.000    5.583    0.043  0.157 0.157 0.094  1.351
   73  0.0000 1.000    5.237   0.0416  0.126 0.130 0.090  0.972
   74  0.0000 1.000    5.092    0.041  0.168 0.188 0.130  0.925
   75  0.0000 1.000    5.058   0.0409  0.140 0.142 0.100  1.052
